KOs	colours
K06202	yellow,black
K07491	yellow,black
K07491	yellow,black
K07491	yellow,black
K07491	yellow,black
K07491	yellow,black
K07491	yellow,black
K01792	yellow,black
K02488	yellow,black
K02488	yellow,black
K01426	yellow,black
K03557	yellow,black
K07133	yellow,black
K24264	yellow,black
K07497	yellow,black
K07497	yellow,black
K02909	yellow,black
K02909	yellow,black
K19736	yellow,black
K02316	yellow,black
K18159	yellow,black
K03574	yellow,black
K03574	yellow,black
K07301	yellow,black
K06195	yellow,black
K07102	yellow,black
K00876	yellow,black
K00906	yellow,black
K04744	yellow,black
K03771	red,black
K06970	yellow,black
K20974	yellow,black
K20974	yellow,black
K20974	yellow,black
K06187	yellow,black
K08974	yellow,black
K04046	yellow,black
K05952	yellow,black
K05952	yellow,black
K00355	yellow,black
K22479	yellow,black
K00790	yellow,black
K01302	yellow,black
K02192	yellow,black
K03688	yellow,black
K15011	yellow,black
K03317	yellow,black
K07004	yellow,black
K15012	yellow,black
K03116	yellow,black
K00351	yellow,black
K08296	yellow,black
K08484	yellow,black
K01270	yellow,black
K00344	yellow,black
K00350	yellow,black
K03117	yellow,black
K00375	yellow,black
K00349	yellow,black
K01255	yellow,black
K01255	yellow,black
K01255	red,black
K08311	yellow,black
K03734	yellow,black
K03734	yellow,black
K02013	yellow,black
K02013	yellow,black
K02013	yellow,black
K03118	yellow,black
K01284	yellow,black
K01284	red,black
K00992	yellow,black
K05801	yellow,black
K02015	yellow,black
K02015	yellow,black
K02015	yellow,black
K02217	yellow,black
K03690	yellow,black
K01734	yellow,black
K13292	yellow,black
K07323	yellow,black
K07323	yellow,black
K02065	yellow,black
K02461	yellow,black
K02460	yellow,black
K02528	yellow,black
K03387	yellow,black
K02066	yellow,black
K07122	yellow,black
K02462	yellow,black
K02463	yellow,black
K21084	yellow,black
K21084	yellow,black
K21084	yellow,black
K02067	yellow,black
K00857	yellow,black
K07090	yellow,black
K07090	yellow,black
K07090	yellow,black
K07090	yellow,black
K07090	yellow,black
K03424	yellow,black
K03424	yellow,black
K03424	yellow,black
K02458	yellow,black
K00528	yellow,black
K02459	yellow,black
K03784	yellow,black
K01839	yellow,black
K06949	yellow,black
K00109	yellow,black
K04568	yellow,black
K04568	yellow,black
K03575	yellow,black
K06180	yellow,black
K03749	yellow,black
K09926	yellow,black
K07462	yellow,black
K07462	yellow,black
K07462	yellow,black
K18218	yellow,black
K18218	yellow,black
K07648	yellow,black
K04751	yellow,black
K04751	yellow,black
K03981	yellow,black
K03981	yellow,black
K03981	yellow,black
K03598	yellow,black
K21698	yellow,black
K04752	yellow,black
K03558	yellow,black
K21935	yellow,black
K09908	yellow,black
K09908	yellow,black
K08084	yellow,black
K08084	yellow,black
K08086	yellow,black
K03892	yellow,black
K09159	yellow,black
K07773	yellow,black
K10804	yellow,black
K03840	yellow,black
K03840	yellow,black
K07401	yellow,black
K00971	yellow,black
K14287	yellow,black
K01533	yellow,black
K02167	yellow,black
K05807	yellow,black
K13652	yellow,black
K13652	yellow,black
K05810	yellow,black
K03695	yellow,black
K21430	yellow,black
K01126	yellow,black
K01126	yellow,black
K01866	yellow,black
K07740	yellow,black
K09792	yellow,black
K23242	yellow,black
K07082	yellow,black
K02676	yellow,black
K03597	yellow,black
K16011	yellow,black
K06996	yellow,black
K06996	yellow,black
K01768	yellow,black
K14761	yellow,black
K06173	yellow,black
K04771	yellow,black
K04771	yellow,black
K09862	yellow,black
K09862	yellow,black
K06006	yellow,black
K06006	yellow,black
K03803	yellow,black
K24138	yellow,black
K04772	yellow,black
K04772	yellow,black
K03790	yellow,black
K03790	yellow,black
K03790	yellow,black
K03790	yellow,black
K01434	yellow,black
K09915	yellow,black
K03776	yellow,black
K03776	yellow,black
K03776	yellow,black
K06223	yellow,black
K01000	yellow,black
K03588	yellow,black
K03589	yellow,black
K07664	yellow,black
K07664	yellow,black
K01759	yellow,black
K01759	yellow,black
K20977	yellow,black
K08989	yellow,black
K08989	yellow,black
K09895	yellow,black
K07107	yellow,black
K07107	yellow,black
K07107	yellow,black
K02860	yellow,black
K03113	yellow,black
K01664	yellow,black
K04047	yellow,black
K03112	yellow,black
K03106	yellow,black
K02959	red,black
K01262	yellow,black
K16087	yellow,black
K16087	yellow,black
K16087	red,black
K01921	yellow,black
K01925	yellow,black
K15777	yellow,black
K01070	red,black
K00554	yellow,black
K03699	yellow,black
K01924	yellow,black
K01305	yellow,black
K03704	yellow,black
K01890	red,black
K07397	yellow,black
K07397	yellow,black
K07397	yellow,black
K12942	yellow,black
K12942	yellow,black
K03668	yellow,black
K07778	yellow,black
K01876	yellow,black
K01889	red,black
K01724	red,black
K02563	yellow,black
K19802	yellow,black
K03469	yellow,black
K10763	yellow,black
K08307	yellow,black
K08307	yellow,black
K05838	yellow,black
K21024	yellow,black
K01069	yellow,black
K03530	red,black
K03530	yellow,black
K00428	yellow,black
K00428	yellow,black
K07386	yellow,black
K01867	yellow,black
K02016	yellow,black
K02016	yellow,black
K20978	yellow,black
K12262	yellow,black
K12262	yellow,black
K03409	yellow,black
K03409	yellow,black
K15257	yellow,black
K09938	yellow,black
K15256	yellow,black
K07693	yellow,black
K06200	yellow,black
K09906	yellow,black
K02884	yellow,black
K01354	yellow,black
K01354	yellow,black
K07043	yellow,black
K03590	yellow,black
K03590	yellow,black
K01387	yellow,black
K01387	yellow,black
K01387	yellow,black
K01387	yellow,black
K01387	yellow,black
K01387	yellow,black
K02665	yellow,black
K01620	yellow,black
K01620	yellow,black
K04764	red,black
K02664	yellow,black
K07734	yellow,black
K07734	yellow,black
K03624	yellow,black
K02666	yellow,black
K00500	yellow,black
K03169	yellow,black
K15897	yellow,black
K15897	yellow,black
K02051	yellow,black
K02051	yellow,black
K02051	yellow,black
K02669	yellow,black
K02337	yellow,black
K07058	yellow,black
K07058	yellow,black
K09761	yellow,black
K19174	yellow,black
K06518	yellow,black
K01673	yellow,black
K01673	yellow,black
K02408	yellow,black
K02408	yellow,black
K02409	yellow,black
K02409	yellow,black
K19175	yellow,black
K19171	yellow,black
K01886	yellow,black
K07560	yellow,black
K07560	yellow,black
K19789	yellow,black
K19170	yellow,black
K19172	yellow,black
K01259	yellow,black
K01259	yellow,black
K01259	yellow,black
K19173	yellow,black
K02221	yellow,black
K09806	yellow,black
K04066	yellow,black
K04066	yellow,black
K03286	yellow,black
K03286	yellow,black
K01915	red,black
K01083	yellow,black
K19169	yellow,black
K00982	yellow,black
K02429	yellow,black
K02429	yellow,black
K02429	yellow,black
K02428	yellow,black
K01928	yellow,black
K16263	yellow,black
K20276	red,black
K10941	yellow,black
K10941	yellow,black
K04075	yellow,black
K01246	yellow,black
K01246	yellow,black
K01246	yellow,black
K10942	yellow,black
K10942	yellow,black
K10943	yellow,black
K10943	yellow,black
K03320	yellow,black
K06997	yellow,black
K07257	yellow,black
K07257	yellow,black
K14189	yellow,black
K14189	yellow,black
K07283	yellow,black
K07283	red,black
K07283	yellow,black
K06177	yellow,black
K07447	yellow,black
K07735	yellow,black
K03976	yellow,black
K15898	yellow,black
K15898	yellow,black
K02670	yellow,black
K03426	yellow,black
K07454	yellow,black
K08997	yellow,black
K10921	yellow,black
K10921	yellow,black
K03746	yellow,black
K09901	yellow,black
K06207	yellow,black
K06020	yellow,black
K07464	yellow,black
K07712	yellow,black
K03775	yellow,black
K02907	yellow,black
K02876	red,black
K01953	yellow,black
K01953	yellow,black
K01953	yellow,black
K01953	yellow,black
K01953	yellow,black
K02874	red,black
K07070	yellow,black
K09897	yellow,black
K07003	yellow,black
K07003	yellow,black
K22042	yellow,black
K16053	yellow,black
K23773	yellow,black
K09950	yellow,black
K02948	red,black
K05996	yellow,black
K13529	yellow,black
K07038	yellow,black
K01515	yellow,black
K19416	yellow,black
K02988	red,black
K03076	yellow,black
K00556	yellow,black
K17231	yellow,black
K00567	yellow,black
K07235	yellow,black
K10563	yellow,black
K02952	yellow,black
K03655	yellow,black
K01295	yellow,black
K19784	yellow,black
K19784	yellow,black
K01875	red,black
K07237	yellow,black
K07236	yellow,black
K15342	yellow,black
K02986	yellow,black
K03040	yellow,black
K02954	yellow,black
K11527	yellow,black
K11527	yellow,black
